epoch,train_loss,train_mae,val_loss,val_mae,driving_holdout_loss,driving_holdout_mae,sceneflow_holdout_loss,sceneflow_holdout_mae
1,8.893406242132187,9.381450831890106,6.9391703605651855,7.429328441619873,5.521380424499512,6.0061821937561035,8.780573844909668,9.26888656616211
2,7.34408238530159,7.8305890411138535,6.62867546081543,7.117703437805176,5.542219161987305,6.0261311531066895,8.689545631408691,9.178215026855469
3,7.251996234059334,7.738395377993584,6.638583183288574,7.124954700469971,5.279665470123291,5.762617111206055,8.638540267944336,9.12705135345459
4,7.112322852015495,7.597986251115799,6.031673908233643,6.516429901123047,5.470106601715088,5.952610015869141,8.35139274597168,8.840123176574707
5,7.130859136581421,7.616270378232002,6.171627521514893,6.656459331512451,5.305501461029053,5.787384510040283,8.375699996948242,8.863574028015137
6,6.974552422761917,7.459526419639587,6.405914783477783,6.891282081604004,5.175086975097656,5.656609535217285,8.408062934875488,8.896455764770508
7,6.953340396285057,7.437664419412613,6.094057083129883,6.577634811401367,5.063317775726318,5.543973922729492,8.205387115478516,8.692094802856445
8,6.886951133608818,7.370750427246094,6.183875560760498,6.667116641998291,4.957946300506592,5.43740177154541,8.21020221710205,8.695782661437988
9,6.804723724722862,7.287466526031494,5.887047290802002,6.368659973144531,4.92578125,5.404034614562988,8.033232688903809,8.516792297363281
10,6.56681615114212,7.047031477093697,5.4867072105407715,5.966369152069092,4.617914199829102,5.094364166259766,7.753246307373047,8.23324203491211
11,6.112470582127571,6.588469237089157,4.787954807281494,5.2619781494140625,3.6313717365264893,4.101095676422119,7.181967735290527,7.656678199768066
12,5.307940974831581,5.777444660663605,4.53917932510376,5.0092315673828125,3.1723098754882812,3.635672092437744,6.544401168823242,7.01431941986084
13,4.838921308517456,5.3044649213552475,4.0326995849609375,4.499014377593994,3.0448005199432373,3.504176139831543,5.906948089599609,6.3729939460754395
14,4.5411796271800995,5.002941772341728,3.9543352127075195,4.417768478393555,3.15609073638916,3.616075277328491,5.805220127105713,6.266824245452881
15,4.3491537272930145,4.807613253593445,3.6757376194000244,4.1346659660339355,2.945887565612793,3.400188446044922,5.139398574829102,5.596147060394287
16,4.149904705584049,4.604946002364159,3.2216529846191406,3.677483558654785,2.9879567623138428,3.4426846504211426,4.773380279541016,5.226849555969238
